Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
1120, 52.3917799, 1120, 50.3220337, 1120, 49.4387014, 1120, 49.128577, 1120, 55.6636221, 1120, 48.3551072, 1120, 52.3627446, 1120, 46.2148675, 1120, 45.1155871
1160, 52.0140153, 1160, 50.1788339, 1160, 49.8181296, 1160, 48.9070333, 1160, 55.0138374, 1160, 48.4602249, 1160, 51.9611227, 1160, 46.046722, 1160, 44.9623937
1200, 51.7336679, 1200, 50.0436942, 1200, 49.8570222, 1200, 48.4912201, 1200, 54.48941, 1200, 48.7686588, 1200, 51.6292918, 1200, 45.8899862, 1200, 44.8174893
1240, 51.5367658, 1240, 49.9160049, 1240, 49.8533396, 1240, 48.7036671, 1240, 54.0632101, 1240, 49.3072575, 1240, 51.3485653, 1240, 45.742698, 1240, 44.6797649
1280, 51.4143051, 1280, 49.7954112, 1280, 49.7152436, 1280, 49.4605572, 1280, 53.7148332, 1280, 50.0173846, 1280, 51.1060027, 1280, 45.6033807, 1280, 44.5483642
1320, 51.361346, 1320, 49.6818454, 1320, 49.348935, 1320, 50.7149071, 1320, 53.4295897, 1320, 50.6832755, 1320, 50.8925783, 1320, 45.4708959, 1320, 44.4226264
1360, 51.3762909, 1360, 49.5756115, 1360, 49.424679, 1360, 52.1268982, 1360, 53.1972683, 1360, 51.0124357, 1360, 50.7018924, 1360, 45.3443589, 1360, 44.3020498
1400, 51.4603343, 1400, 49.4775917, 1400, 49.9745349, 1400, 52.5417999, 1400, 53.0111673, 1400, 50.8993616, 1400, 50.5293213, 1400, 45.2230644, 1400, 44.1862783
1440, 51.6170329, 1440, 49.3896505, 1440, 50.8681407, 1440, 53.0499284, 1440, 52.8674266, 1440, 50.4931904, 1440, 50.3714609, 1440, 45.1064526, 1440, 44.0751098
1480, 51.8518823, 1480, 49.3154352, 1480, 52.0980342, 1480, 54.6001424, 1480, 52.7645753, 1480, 49.9883697, 1480, 50.2257608, 1480, 44.9940711, 1480, 43.9685338
1520, 52.1718145, 1520, 49.2619397, 1520, 53.2428934, 1520, 56.8772114, 1520, 52.7031085, 1520, 49.4966065, 1520, 50.0902773, 1520, 44.8855629, 1520, 43.8668154
1560, 52.5844925, 1560, 49.2424236, 1560, 53.7461218, 1560, 58.5736373, 1560, 52.684772, 1560, 49.0580617, 1560, 49.9635093, 1560, 44.7806574, 1560, 43.7706645
1600, 53.0972519, 1600, 49.280873, 1600, 54.5780938, 1600, 59.1180949, 1600, 52.7108688, 1600, 48.6786936, 1600, 49.844281, 1600, 44.6791706, 1600, 43.6815516
1640, 53.7155035, 1640, 49.4138432, 1640, 56.1768353, 1640, 58.5035813, 1640, 52.7783765, 1640, 48.3524231, 1640, 49.7316602, 1640, 44.5810245, 1640, 43.6023078
1680, 54.4402613, 1680, 49.6679341, 1680, 58.3235367, 1680, 56.4283358, 1680, 52.8725345, 1680, 48.0704469, 1680, 49.6249015, 1680, 44.486277, 1680, 43.5382462
1720, 55.2643336, 1720, 49.9799612, 1720, 60.1874716, 1720, 54.6613836, 1720, 52.9572774, 1720, 47.824483, 1720, 49.5234048, 1720, 44.3951943, 1720, 43.4992056
1760, 56.1665193, 1760, 50.167972, 1760, 60.8607216, 1760, 53.7485217, 1760, 52.974124, 1760, 47.6076162, 1760, 49.4266807, 1760, 44.3083651, 1760, 43.5028731
1800, 57.1036471, 1800, 50.1429015, 1800, 60.9639713, 1800, 53.6360658, 1800, 52.8676174, 1800, 47.4143316, 1800, 49.334334, 1800, 44.2269165, 1800, 43.5782895
1840, 58.0027057, 1840, 49.9979131, 1840, 59.5616412, 1840, 53.2126352, 1840, 52.6290716, 1840, 47.2402961, 1840, 49.246039, 1840, 44.1528844, 1840, 43.761453
1880, 58.7616483, 1880, 49.8341793, 1880, 57.5185343, 1880, 52.487344, 1880, 52.3065883, 1880, 47.0821157, 1880, 49.1615348, 1880, 44.0898722, 1880, 44.0598865
1920, 59.2734276, 1920, 49.6943715, 1920, 55.8512524, 1920, 52.8615715, 1920, 51.9651687, 1920, 46.9371273, 1920, 49.0806078, 1920, 44.0441893, 1920, 44.3832535
1960, 59.4748557, 1960, 49.5986236, 1960, 54.7607818, 1960, 54.5528606, 1960, 51.6489018, 1960, 46.8032222, 1960, 49.003091, 1960, 44.0266693, 1960, 44.5678797
2000, 59.3841432, 2000, 49.5783437, 2000, 54.2388631, 2000, 57.6023258, 2000, 51.3749184, 2000, 46.678722, 2000, 48.9288573, 2000, 44.0550377, 2000, 44.5549936
