Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
4480, 53.7757096, 4480, 61.1158406, 4480, 60.677923, 4480, 63.4580168, 4480, 47.8142265, 4480, 44.4943581, 4480, 51.6947133, 4480, 50.7550671, 4480, 55.2498573
4520, 53.7560274, 4520, 61.7084388, 4520, 61.2024257, 4520, 67.4454609, 4520, 47.7850504, 4520, 44.5061384, 4520, 52.0782784, 4520, 50.7675405, 4520, 57.0361402
4560, 53.7407102, 4560, 62.5164186, 4560, 62.1369596, 4560, 70.3977611, 4560, 47.7562464, 4560, 44.5130875, 4560, 52.4577532, 4560, 50.6582076, 4560, 58.5310901
4600, 53.7298352, 4600, 63.2253697, 4600, 63.9313909, 4600, 69.7428955, 4600, 47.7278153, 4600, 44.5191926, 4600, 52.8297558, 4600, 50.3548566, 4600, 59.4072539
4640, 53.7234807, 4640, 63.325957, 4640, 65.0151161, 4640, 70.683315, 4640, 47.6997614, 4640, 44.5276735, 4640, 53.2055404, 4640, 49.9494473, 4640, 59.6564162
4680, 53.7217125, 4680, 62.4968202, 4680, 66.5578296, 4680, 71.2818592, 4680, 47.672087, 4680, 44.5409918, 4680, 53.6043368, 4680, 49.5980746, 4680, 59.5164678
4720, 53.7245743, 4720, 61.0205512, 4720, 65.3787582, 4720, 73.3705656, 4720, 47.6447964, 4720, 44.5610392, 4720, 54.0423172, 4720, 49.4040581, 4720, 59.0982192
4760, 53.7320649, 4760, 59.3904188, 4760, 62.6415919, 4760, 74.834252, 4760, 47.6178948, 4760, 44.5893084, 4760, 54.5284281, 4760, 49.4099549, 4760, 58.3370728
4800, 53.74412, 4800, 57.8953572, 4800, 60.7931499, 4800, 70.9789198, 4800, 47.591391, 4800, 44.626943, 4800, 55.066243, 4800, 49.6305654, 4800, 57.2896244
4840, 53.7605823, 4840, 56.6382513, 4840, 60.143138, 4840, 66.6371103, 4840, 47.5652936, 4840, 44.6746389, 4840, 55.6566317, 4840, 50.0745859, 4840, 56.273043
4880, 53.7811632, 4880, 55.6409871, 4880, 60.5041083, 4880, 63.4984231, 4880, 47.5396137, 4880, 44.7323721, 4880, 56.2989611, 4880, 50.7514249, 4880, 55.5990321
4920, 53.8054071, 4920, 54.9012913, 4920, 60.9971155, 4920, 61.8098717, 4920, 47.5143674, 4920, 44.7989692, 4920, 56.9906835, 4920, 51.6698456, 4920, 55.3713952
4960, 53.8326444, 4960, 54.4159728, 4960, 62.3398425, 4960, 61.7503174, 4960, 47.4895732, 4960, 44.8715799, 4960, 57.7254356, 4960, 52.831752, 4960, 55.5538396
5000, 53.8619471, 5000, 54.1903532, 5000, 65.0601455, 5000, 60.9745765, 5000, 47.4652534, 5000, 44.9453028, 5000, 58.4895082, 5000, 54.2202206, 5000, 56.0701893
5040, 53.8920891, 5040, 54.2416764, 5040, 68.7173354, 5040, 60.7144217, 5040, 47.4414374, 5040, 45.0134028, 5040, 59.2566019, 5040, 55.7773737, 5040, 56.8263905
5080, 53.9215249, 5080, 54.5960984, 5080, 69.7393654, 5080, 61.2683855, 5080, 47.4181635, 5080, 45.0685799, 5080, 59.9824065, 5080, 57.3695614, 5080, 57.6677632
5120, 53.9483864, 5120, 55.2703536, 5120, 69.1875548, 5120, 62.8094369, 5120, 47.3954779, 5120, 45.1051937, 5120, 60.6051553, 5120, 58.7650131, 5120, 58.3067931
5160, 53.9705376, 5160, 56.2153007, 5160, 70.1702423, 5160, 65.8172102, 5160, 47.3734387, 5160, 45.1214335, 5160, 61.0638962, 5160, 59.7097866, 5160, 58.3535563
5200, 53.9856633, 5200, 57.1960167, 5200, 70.8143883, 5200, 69.9126096, 5200, 47.3521229, 5200, 45.1199717, 5200, 61.3377697, 5200, 60.1205475, 5200, 57.621917
5240, 53.991425, 5240, 57.7203986, 5240, 72.6528127, 5240, 68.9177935, 5240, 47.3316236, 5240, 45.106628, 5240, 61.4740632, 5240, 60.1346494, 5240, 56.3443909
5280, 53.985663, 5280, 57.4187635, 5280, 74.5096895, 5280, 66.4342386, 5280, 47.312061, 5280, 45.0879848, 5280, 61.5581078, 5280, 59.9036544, 5280, 54.8891584
5320, 53.9666224, 5320, 56.5384674, 5320, 71.995129, 5320, 63.2757514, 5320, 47.2935859, 5320, 45.06935, 5320, 61.6397127, 5320, 59.4399342, 5320, 53.4903869
5360, 53.9331699, 5360, 55.5586786, 5360, 67.8249994, 5360, 61.8848933, 5360, 47.2763842, 5360, 45.0537376, 5360, 61.6860822, 5360, 58.6961095, 5360, 52.2447606
5400, 53.8849446, 5400, 54.7396524, 5400, 64.5463516, 5400, 63.2463441, 5400, 47.2606845, 5400, 45.0417156, 5400, 61.6069583, 5400, 57.7521146, 5400, 51.1791661
5440, 53.8224238, 5440, 54.1502716, 5440, 62.2520013, 5440, 65.9235255, 5440, 47.2467593, 5440, 45.0317383, 5440, 61.3322955, 5440, 56.8483027, 5440, 50.2940306
5480, 53.7468701, 5480, 53.785815, 5480, 61.4908535, 5480, 65.1932102, 5480, 47.2349244, 5480, 45.0206955, 5480, 60.8654844, 5480, 56.2107747, 5480, 49.5830169
5520, 53.6601782, 5520, 53.6267038, 5520, 61.396256, 5520, 63.1111284, 5520, 47.2255229, 5520, 45.004685, 5520, 60.268055, 5520, 55.9289374, 5520, 49.0414633
5560, 53.564656, 5560, 53.6584724, 5560, 60.7288575, 5560, 62.3704716, 5560, 47.2188975, 5560, 44.980045, 5560, 59.6146157, 5560, 55.9885326, 5560, 48.6703887
5600, 53.4627842, 5600, 53.8759194, 5600, 60.5467791, 5600, 59.4755025, 5600, 47.2153435, 5600, 44.9444525, 5600, 58.9650338, 5600, 56.3386878, 5600, 48.4786315
5640, 53.3570001, 5640, 54.2780722, 5640, 61.0058531, 5640, 58.1891708, 5640, 47.2150386, 5640, 44.8975959, 5640, 58.3595727, 5640, 56.9204689, 5640, 48.4828744
5680, 53.249522, 5680, 54.8464236, 5680, 62.2183544, 5680, 58.6761361, 5680, 47.2179689, 5680, 44.8410346, 5680, 57.8241388, 5680, 57.6577911, 5680, 48.701477
5720, 53.1422517, 5720, 55.4814103, 5720, 64.4904822, 5720, 61.0903556, 5720, 47.2238752, 5720, 44.7776439, 5720, 57.3766192, 5720, 58.4223432, 5720, 49.1306083
5760, 53.03672, 5760, 55.8914072, 5760, 68.1163426, 5760, 64.0916368, 5760, 47.2322556, 5760, 44.7115069, 5760, 57.0313239, 5760, 58.9935049, 5760, 49.6835343
5800, 52.9340878, 5800, 55.6739811, 5800, 69.8169384, 5800, 61.8200647, 5800, 47.2424454, 5800, 44.6484423, 5800, 56.8010756, 5800, 59.0910775, 5800, 50.1099782
5840, 52.8351764, 5840, 54.8947163, 5840, 67.5293565, 5840, 60.8057699, 5840, 47.2537695, 5840, 44.5961176, 5840, 56.6967998, 5840, 58.5630193, 5840, 50.0736727
5880, 52.7405148, 5880, 54.1628047, 5880, 65.5952508, 5880, 57.4150497, 5880, 47.2657219, 5880, 44.5626732, 5880, 56.7240288, 5880, 57.5353453, 5880, 49.5099549
5920, 52.6503946, 5920, 53.9072848, 5920, 63.222528, 5920, 56.5467618, 5920, 47.2780936, 5920, 44.5543454, 5920, 56.8754306, 5920, 56.2748002, 5920, 48.708068
5960, 52.5649201, 5960, 54.1928464, 5960, 62.7576035, 5960, 59.792686, 5960, 47.2910271, 5960, 44.5737744, 5960, 57.1194048, 5960, 54.9913372, 5960, 47.9552613
6000, 52.4840604, 6000, 54.9438928, 6000, 64.5691373, 6000, 65.7416299, 6000, 47.3049893, 6000, 44.6200647, 6000, 57.3888759, 6000, 53.7935629, 6000, 47.3719933
6040, 52.4076858, 6040, 56.0665127, 6040, 67.5547758, 6040, 60.4194844, 6040, 47.3207026, 6040, 44.6900988, 6040, 57.5828589, 6040, 52.7237326, 6040, 46.9735135
6080, 52.3356026, 6080, 57.4087842, 6080, 67.9900431, 6080, 55.1418749, 6080, 47.3390659, 6080, 44.780046, 6080, 57.5975578, 6080, 51.7923508, 6080, 46.7403757
6120, 52.2675755, 6120, 58.615717, 6120, 67.0166278, 6120, 53.1441384, 6120, 47.3610975, 6120, 44.8863786, 6120, 57.3806496, 6120, 50.9974121, 6120, 46.6501473
6160, 52.203349, 6160, 59.143629, 6160, 66.4953835, 6160, 53.1893827, 6160, 47.3879045, 6160, 45.0063268, 6160, 56.9611846, 6160, 50.3335072, 6160, 46.6872233
6200, 52.1426604, 6200, 58.8723393, 6200, 63.8711387, 6200, 55.1241824, 6200, 47.4206667, 6200, 45.1379521, 6200, 56.422803, 6200, 49.7960675, 6200, 46.8445275
6240, 52.0852455, 6240, 58.3663271, 6240, 61.3540303, 6240, 58.9658291, 6240, 47.4606399, 6240, 45.2800409, 6240, 55.8544652, 6240, 49.3835239, 6240, 47.1222691
6280, 52.0308524, 6280, 58.159699, 6280, 60.3051734, 6280, 57.9246368, 6280, 47.5091569, 6280, 45.4319567, 6280, 55.3228043, 6280, 49.0986076, 6280, 47.5234464
6320, 51.9792387, 6320, 58.4926283, 6320, 60.6678013, 6320, 57.7974843, 6320, 47.567616, 6320, 45.5934914, 6320, 54.8700178, 6320, 48.9489975, 6320, 48.0399645
6360, 51.9301792, 6360, 59.4730484, 6360, 62.6337413, 6360, 61.3335623, 6360, 47.6374478, 6360, 45.7647449, 6360, 54.5220882, 6360, 48.9464096, 6360, 48.6160599
6400, 51.8834625, 6400, 61.0725501, 6400, 64.85698, 6400, 62.3745181, 6400, 47.7200419, 6400, 45.9460243, 6400, 54.2970674, 6400, 49.101071, 6400, 49.0945252
6440, 51.8388944, 6440, 62.9702894, 6440, 63.0661518, 6440, 59.955608, 6440, 47.8166198, 6440, 46.1377525, 6440, 54.2104224, 6440, 49.4045519, 6440, 49.2771198
6480, 51.796297, 6480, 64.5558386, 6480, 63.3379397, 6480, 64.3610542, 6480, 47.9280293, 6480, 46.3403646, 6480, 54.2774455, 6480, 49.7918092, 6480, 49.2159862
6520, 51.7555073, 6520, 65.5280866, 6520, 60.3060459, 6520, 67.2716772, 6520, 48.0544626, 6520, 46.5541758, 6520, 54.5133167, 6520, 50.0961635, 6520, 49.2322447
6560, 51.7163746, 6560, 65.9148848, 6560, 59.0961161, 6560, 66.7352163, 6560, 48.1950996, 6560, 46.7791865, 6560, 54.9312879, 6560, 50.0902431, 6560, 49.5441905
6600, 51.6787646, 6600, 65.4422289, 6600, 60.0151812, 6600, 68.2809359, 6600, 48.3477161, 6600, 47.014816, 6600, 55.5393902, 6600, 49.6871374, 6600, 50.1822293
6640, 51.6425549, 6640, 64.0736573, 6640, 65.2210803, 6640, 72.227078, 6640, 48.508373, 6640, 47.2595431, 6640, 56.3360003, 6640, 49.0448354, 6640, 51.1128088
6680, 51.6076332, 6680, 62.4781813, 6680, 67.376767, 6680, 78.346922, 6680, 48.671323, 6680, 47.5105339, 6680, 57.3043157, 6680, 48.3849806, 6680, 52.3000985
6720, 51.5738984, 6720, 61.2153926, 6720, 61.1527383, 6720, 79.9107778, 6720, 48.8293167, 6720, 47.7634372, 6720, 58.4054246, 6720, 47.8342716, 6720, 53.6935601
6760, 51.5412586, 6760, 60.4616267, 6760, 56.9323222, 6760, 78.6193671, 6760, 48.9744078, 6760, 48.0127018, 6760, 59.5703641, 6760, 47.4278063, 6760, 55.165624
6800, 51.5096312, 6800, 60.4089089, 6800, 55.395142, 6800, 72.4883071, 6800, 49.0991696, 6800, 48.2528017, 6800, 60.6960384, 6800, 47.1585232, 6800, 56.4180817
6840, 51.4789389, 6840, 60.782441, 6840, 55.5812492, 6840, 65.6615636, 6840, 49.198029, 6840, 48.4803249, 6840, 61.6587314, 6840, 47.0085035, 6840, 57.0234772
6880, 51.4491141, 6880, 60.9034569, 6880, 57.2798324, 6880, 63.0355058, 6880, 49.2682622, 6880, 48.6960634, 6880, 62.3581786, 6880, 46.9615026, 6880, 56.8391944
6920, 51.4200937, 6920, 60.7883988, 6920, 60.7723606, 6920, 62.8782713, 6920, 49.3103042, 6920, 48.9056152, 6920, 62.7707219, 6920, 47.0065139, 6920, 56.237482
6960, 51.3918212, 6960, 60.8720193, 6960, 61.8455493, 6960, 64.630127, 6960, 49.327306, 6960, 49.1178253, 6960, 62.9551232, 6960, 47.1381297, 6960, 55.6738471
7000, 51.3642447, 7000, 61.2546981, 7000, 59.9865937, 7000, 65.1592578, 7000, 49.3241812, 7000, 49.3420128, 7000, 62.9978316, 7000, 47.3558946, 7000, 55.407525
7040, 51.3373173, 7040, 61.6630643, 7040, 61.3906164, 7040, 67.3445035, 7040, 49.3065204, 7040, 49.5856925, 7040, 62.9500426, 7040, 47.6628488, 7040, 55.5865542
7080, 51.3109966, 7080, 62.0087642, 7080, 64.9912118, 7080, 68.0629452, 7080, 49.2796641, 7080, 49.8536978, 7080, 62.8000124, 7080, 48.0617023, 7080, 56.3047028
7120, 51.2852416, 7120, 62.2507517, 7120, 63.9835955, 7120, 67.947858, 7120, 49.2480946, 7120, 50.1484718, 7120, 62.4915204, 7120, 48.5443198, 7120, 57.5521821
7160, 51.2600171, 7160, 62.2850527, 7160, 62.7037439, 7160, 65.004398, 7160, 49.2151211, 7160, 50.4708361, 7160, 61.9815873, 7160, 49.0681486, 7160, 59.0735354
7200, 51.2352901, 7200, 62.5636045, 7200, 67.4752569, 7200, 61.7911571, 7200, 49.1827874, 7200, 50.8207115, 7200, 61.29734, 7200, 49.5293373, 7200, 60.3953029
7240, 51.2110309, 7240, 63.4525693, 7240, 70.5155527, 7240, 60.4676421, 7240, 49.15192, 7240, 51.1976007, 7240, 60.5363395, 7240, 49.8054797, 7240, 61.2630498
7280, 51.1872117, 7280, 64.6029622, 7280, 69.7267835, 7280, 59.6823902, 7280, 49.1222683, 7280, 51.6008094, 7280, 59.813219, 7280, 49.9143967, 7280, 61.6706619
7320, 51.1638063, 7320, 65.1611125, 7320, 70.464943, 7320, 59.2716665, 7320, 49.0927415, 7320, 52.0294691, 7320, 59.2115557, 7320, 50.0432043, 7320, 61.4266848
7360, 51.1407929, 7360, 64.6104918, 7360, 73.1316076, 7360, 59.8451542, 7360, 49.061739, 7360, 52.4823926, 7360, 58.7722602, 7360, 50.3531484, 7360, 60.3780812
7400, 51.1181479, 7400, 63.4108324, 7400, 77.9312552, 7400, 61.3442245, 7400, 49.0276089, 7400, 52.9577904, 7400, 58.5049658, 7400, 50.892515, 7400, 58.9030199
7440, 51.0958521, 7440, 62.184397, 7440, 82.5898837, 7440, 64.0026437, 7440, 48.9891598, 7440, 53.452844, 7440, 58.4025092, 7440, 51.6519763, 7440, 57.5780153
7480, 51.0738871, 7480, 61.1444529, 7480, 82.4662684, 7480, 67.3379012, 7480, 48.9460939, 7480, 53.9631107, 7480, 58.4499127, 7480, 52.6128183, 7480, 56.6706267
7520, 51.0522357, 7520, 60.2577639, 7520, 80.3887292, 7520, 65.2712004, 7520, 48.8991777, 7520, 54.4817769, 7520, 58.626836, 7520, 53.7557419, 7520, 56.3018936
7560, 51.0308827, 7560, 59.5223993, 7560, 74.3848709, 7560, 59.9777253, 7560, 48.8500276, 7560, 54.998834, 7560, 58.9043651, 7560, 55.0444966, 7560, 56.5553958
7600, 51.0098131, 7600, 58.9552704, 7600, 68.1703205, 7600, 57.4951717, 7600, 48.8005743, 7600, 55.5004375, 7600, 59.2369546, 7600, 56.3874258, 7600, 57.0469876
7640, 50.9890134, 7640, 58.5538017, 7640, 65.8971838, 7640, 56.7583747, 7640, 48.7524323, 7640, 55.9689893, 7640, 59.5517501, 7640, 57.5828376, 7640, 57.2050471
7680, 50.9684716, 7680, 58.311181, 7680, 65.6527952, 7680, 54.85331, 7680, 48.7064899, 7680, 56.3847754, 7680, 59.7438641, 7680, 58.3237151, 7680, 57.018793
7720, 50.9481746, 7720, 58.2258842, 7720, 66.8486803, 7720, 54.4554334, 7720, 48.6628787, 7720, 56.7298891, 7720, 59.695795, 7720, 58.4069377, 7720, 56.8186789
7760, 50.9281121, 7760, 58.2891886, 7760, 68.2476742, 7760, 55.3843826, 7760, 48.6212994, 7760, 56.9940694, 7760, 59.3309584, 7760, 57.9755673, 7760, 56.778695
7800, 50.9082744, 7800, 58.4338367, 7800, 69.2010549, 7800, 53.3927448, 7800, 48.5814873, 7800, 57.1799803, 7800, 58.6647765, 7800, 57.3764938, 7800, 56.8198274
7840, 50.8886516, 7840, 58.5665884, 7840, 71.8368214, 7840, 52.1545471, 7840, 48.5435732, 7840, 57.3040819, 7840, 57.7951114, 7840, 56.8799698, 7840, 56.842698
7880, 50.8692349, 7880, 58.7583189, 7880, 71.492397, 7880, 52.09934, 7880, 48.508198, 7880, 57.3909429, 7880, 56.8431226, 7880, 56.6354286, 7880, 56.8968788
7920, 50.8500155, 7920, 59.1284093, 7920, 71.155072, 7920, 52.8947988, 7920, 48.4763804, 7920, 57.4630743, 7920, 55.9059905, 7920, 56.7421654, 7920, 56.9827687
7960, 50.8309866, 7960, 59.7265892, 7960, 68.1251177, 7960, 55.1859677, 7960, 48.4492787, 7960, 57.5311218, 7960, 55.0445788, 7960, 57.2706774, 7960, 57.1751328
8000, 50.81214, 8000, 60.5681632, 8000, 65.2796242, 8000, 59.3668403, 8000, 48.4279653, 8000, 57.5886813, 8000, 54.2905926, 8000, 58.2355198, 8000, 57.7396853
8040, 50.7934688, 8040, 61.5712472, 8040, 63.9463243, 8040, 60.8831685, 8040, 48.4132895, 8040, 57.6139891, 8040, 53.6572244, 8040, 59.5075903, 8040, 58.7216573
8080, 50.7749673, 8080, 62.4081312, 8080, 63.2391148, 8080, 60.1917209, 8080, 48.4058354, 8080, 57.5783617, 8080, 53.1473964, 8080, 60.7705576, 8080, 59.8176282
8120, 50.756629, 8120, 62.8533072, 8120, 62.6471232, 8120, 57.575792, 8120, 48.4059515, 8120, 57.4579171, 8120, 52.7590471, 8120, 61.7343122, 8120, 60.4564712
8160, 50.7384482, 8160, 63.314492, 8160, 62.8599768, 8160, 55.0578207, 8160, 48.4138107, 8160, 57.2426692, 8160, 52.4883089, 8160, 62.3424312, 8160, 60.1474779
8200, 50.7204197, 8200, 64.1435262, 8200, 63.7949443, 8200, 54.1842674, 8200, 48.4294737, 8200, 56.938672, 8200, 52.3313462, 8200, 62.5641958, 8200, 59.0415427
8240, 50.7025393, 8240, 65.269613, 8240, 65.5466898, 8240, 54.8939606, 8240, 48.4529508, 8240, 56.5637069, 8240, 52.285386, 8240, 62.2191806, 8240, 57.66472
8280, 50.6848004, 8280, 66.309127, 8280, 68.3091143, 8280, 54.6982288, 8280, 48.4842465, 8280, 56.140486, 8280, 52.3492218, 8280, 61.239919, 8280, 56.3713765
8320, 50.667199, 8320, 66.9404046, 8320, 70.8341861, 8320, 57.082207, 8320, 48.5233932, 8320, 55.6910987, 8320, 52.523341, 8320, 59.9248256, 8320, 55.273235
8360, 50.6497321, 8360, 67.5911333, 8360, 67.9220072, 8360, 59.9882129, 8360, 48.5704709, 8360, 55.2340725, 8360, 52.8097241, 8360, 58.7013871, 8360, 54.357918
8400, 50.6323942, 8400, 68.5572709, 8400, 63.1877501, 8400, 59.1769323, 8400, 48.625625, 8400, 54.7836221, 8400, 53.2112789, 8400, 57.8010891, 8400, 53.6070568
8440, 50.6151825, 8440, 69.0682486, 8440, 60.9719373, 8440, 60.2104058, 8440, 48.6890676, 8440, 54.3501194, 8440, 53.7307339, 8440, 57.3027303, 8440, 53.0154453
8480, 50.5980925, 8480, 68.3206229, 8480, 60.5084955, 8480, 63.132898, 8480, 48.7610803, 8480, 53.9409966, 8480, 54.3686919, 8480, 57.3065449, 8480, 52.5805696
8520, 50.5811222, 8520, 66.7672413, 8520, 58.3823959, 8520, 61.8224113, 8520, 48.8420092, 8520, 53.5616688, 8520, 55.1202175, 8520, 57.7288555, 8520, 52.3045253
8560, 50.5642671, 8560, 65.1438295, 8560, 56.8640272, 8560, 59.5832612, 8560, 48.9322514, 8560, 53.216302, 8560, 55.9690308, 8560, 58.1509813, 8560, 52.1964882
8600, 50.5475241, 8600, 63.7673048, 8600, 56.6886624, 8600, 58.660801, 8600, 49.0322308, 8600, 52.9083887, 8600, 56.8783085, 8600, 58.2325416, 8600, 52.2612814
8640, 50.5308902, 8640, 62.7293804, 8640, 56.0618611, 8640, 59.1409468, 8640, 49.1423595, 8640, 52.6411419, 8640, 57.7788432, 8640, 58.0469417, 8640, 52.4460104
8680, 50.5143634, 8680, 62.0008133, 8680, 54.3837344, 8680, 61.2680592, 8680, 49.262981, 8680, 52.4177126, 8680, 58.5621252, 8680, 57.835435, 8680, 52.5829007
8720, 50.4979411, 8720, 61.5106517, 8720, 53.9086325, 8720, 64.9259532, 8720, 49.3942786, 8720, 52.2412219, 8720, 59.0977452, 8720, 57.729922, 8720, 52.5824458
8760, 50.4816197, 8760, 61.2674679, 8760, 54.1190162, 8760, 65.9783479, 8760, 49.5361553, 8760, 52.1145703, 8760, 59.2902139, 8760, 57.7002562, 8760, 52.6200774
8800, 50.4653981, 8800, 61.2101275, 8800, 54.7994788, 8800, 63.0476803, 8800, 49.6880663, 8800, 52.0399502, 8800, 59.1401029, 8800, 57.664994, 8800, 52.8694893
8840, 50.4492727, 8840, 61.3226789, 8840, 56.6729712, 8840, 61.8300137, 8840, 49.8488186, 8840, 52.017973, 8840, 58.7405977, 8840, 57.6365098, 8840, 53.3910026
8880, 50.4332421, 8880, 61.6976242, 8880, 60.4123341, 8880, 63.5596402, 8880, 50.0163429, 8880, 52.0463513, 8880, 58.2142179, 8880, 57.6578162, 8880, 54.1936703
8920, 50.4173035, 8920, 62.4129979, 8920, 63.0083793, 8920, 67.3923661, 8920, 50.1874977, 8920, 52.1181822, 8920, 57.6597015, 8920, 57.729726, 8920, 55.2071688
8960, 50.4014558, 8960, 63.5289193, 8960, 62.3380168, 8960, 69.9478854, 8960, 50.3579803, 8960, 52.2201777, 8960, 57.138123, 8960, 57.9644057, 8960, 56.149177
9000, 50.3856968, 9000, 65.081284, 9000, 60.8240353, 9000, 69.640994, 9000, 50.5224629, 9000, 52.3316632, 9000, 56.6809408, 9000, 58.5288669, 9000, 56.6167609
9040, 50.3700244, 9040, 66.9857684, 9040, 57.5324693, 9040, 70.5904402, 9040, 50.6750646, 9040, 52.4256254, 9040, 56.3015838, 9040, 59.4124842, 9040, 56.6854308
9080, 50.3544369, 9080, 68.7584011, 9080, 55.7844803, 9080, 70.8329387, 9080, 50.8101963, 9080, 52.4729826, 9080, 56.0039938, 9080, 60.4053487, 9080, 56.8444163
9120, 50.338933, 9120, 69.4261516, 9120, 56.3112673, 9120, 66.9978326, 9120, 50.9236519, 9120, 52.4497701, 9120, 55.7877474, 9120, 61.1307341, 9120, 57.3540924
9160, 50.3235109, 9160, 68.8684717, 9160, 57.3579463, 9160, 63.0396484, 9160, 51.0136253, 9160, 52.3444474, 9160, 55.6508593, 9160, 61.1745591, 9160, 58.161325
9200, 50.3081685, 9200, 68.2672362, 9200, 56.7391168, 9200, 64.5143702, 9200, 51.0812737, 9200, 52.161266, 9200, 55.5912198, 9200, 60.4481814, 9200, 59.0109308
9240, 50.2929049, 9240, 68.5076925, 9240, 58.1470891, 9240, 66.6958781, 9240, 51.1305683, 9240, 51.9177189, 9240, 55.6072647, 9240, 59.2668329, 9240, 59.6985538
9280, 50.2777183, 9280, 69.1672897, 9280, 60.6960392, 9280, 68.6935416, 9280, 51.1674835, 9280, 51.6380898, 9280, 55.6981594, 9280, 57.9867326, 9280, 60.4198881
9320, 50.2626075, 9320, 69.4218916, 9320, 60.4260648, 9320, 71.2831765, 9320, 51.1988584, 9320, 51.3469536, 9320, 55.8635882, 9320, 56.80805, 9320, 61.3756206
9360, 50.2475718, 9360, 69.7065605, 9360, 60.5223452, 9360, 70.4419746, 9360, 51.2313278, 9360, 51.0651574, 9360, 56.1030195, 9360, 55.794743, 9360, 62.1886753
9400, 50.2326095, 9400, 70.4537868, 9400, 63.1273576, 9400, 67.9682415, 9400, 51.2705846, 9400, 50.8085094, 9400, 56.4140717, 9400, 54.9380221, 9400, 62.1171255
9440, 50.2177187, 9440, 71.6455668, 9440, 64.2337746, 9440, 66.0694011, 9440, 51.3210528, 9440, 50.5882059, 9440, 56.7892641, 9440, 54.2208775, 9440, 61.0954913
9480, 50.2028991, 9480, 72.8749819, 9480, 61.8567068, 9480, 63.6852755, 9480, 51.3858748, 9480, 50.4119575, 9480, 57.2099918, 9480, 53.6363607, 9480, 59.7140821
9520, 50.188149, 9520, 73.095908, 9520, 59.7583743, 9520, 63.9760232, 9520, 51.4670992, 9520, 50.2851566, 9520, 57.6367667, 9520, 53.1822706, 9520, 58.4098798
9560, 50.1734675, 9560, 71.6130832, 9560, 58.7136934, 9560, 66.1456617, 9560, 51.5659249, 9560, 50.2118239, 9560, 57.9977243, 9560, 52.8601317, 9560, 57.3510814
9600, 50.1588538, 9600, 69.3001786, 9600, 58.7326726, 9600, 66.5504834, 9600, 51.6829507, 9600, 50.1952628, 9600, 58.1873743, 9600, 52.6767671, 9600, 56.5897378
9640, 50.1443067, 9640, 67.0314942, 9640, 60.0275378, 9640, 66.5451941, 9640, 51.8183747, 9640, 50.2384583, 9640, 58.0999852, 9640, 52.6426432, 9640, 56.1103658
9680, 50.1298258, 9680, 65.0626167, 9680, 62.7829786, 9680, 66.8814, 9680, 51.9721388, 9680, 50.3442707, 9680, 57.7022108, 9680, 52.7562788, 9680, 55.8868837
9720, 50.1154092, 9720, 63.4038189, 9720, 64.7407608, 9720, 64.7946632, 9720, 52.1440134, 9720, 50.5154667, 9720, 57.0812988, 9720, 52.9581348, 9720, 55.9287329
9760, 50.1010562, 9760, 62.0219006, 9760, 63.2815069, 9760, 62.6811727, 9760, 52.3336376, 9760, 50.7546337, 9760, 56.4040108, 9760, 53.0977496, 9760, 56.1142694
9800, 50.0867658, 9800, 60.9252522, 9800, 61.5913159, 9800, 62.3901893, 9800, 52.5405168, 9800, 51.0639907, 9800, 55.8312816, 9800, 53.0809871, 9800, 56.3275684
9840, 50.072538, 9840, 60.2726568, 9840, 61.87271, 9840, 63.7732353, 9840, 52.7639764, 9840, 51.445124, 9840, 55.466617, 9840, 53.0334384, 9840, 56.6688479
9880, 50.0583719, 9880, 60.2641932, 9880, 64.1030775, 9880, 64.628474, 9880, 53.0030833, 9880, 51.8986218, 9880, 55.3509602, 9880, 53.1294905, 9880, 57.2533021
9920, 50.0442651, 9920, 60.3628939, 9920, 67.6203787, 9920, 62.7253007, 9920, 53.2565308, 9920, 52.4236269, 9920, 55.4806962, 9920, 53.4503375, 9920, 58.1406822
