,EM Rotor Speed (rpm),ad003a,ad004a,ad005a,ad006a,ad007a,ad008a,ad009a,ad010a,ad011a,ad012a,ad013a,ad014a,ad015a,ad016a,ad017a,ad018a,ad019a,ad020a,ad021a,ad022a,ad023a,ad024a,ad025a,ad026a,ad027a,ad028a,ad029a,ad030a,ad031a,ad032a,ad033a,ad034a
10,360,61.1892187449834,66.41285740583915,61.2684549889712,67.71654100564258,67.72715110475127,77.5250515386306,69.64391462821763,77.43368613778497,71.41504927411819,78.59947718608394,71.76044983334765,78.56605793046717,73.05146976850776,80.15239802648139,73.77450732453187,80.22666431843896,67.01425563903535,68.42699986513882,66.94971087885692,69.59138249711118,69.42878962273555,77.61719969466589,70.29175792761598,77.59741735881572,72.05921286698134,78.7637390524282,72.72302225626444,78.74681062985768,74.15931599931827,80.44464127660824,74.61562364311332,80.4259756352363
11,400,60.664807859674646,66.07472520423107,60.72422398803772,67.18445286527066,69.12133309090974,77.23152493865814,70.3946226697846,77.09072791224497,73.67777955151658,78.60378694557218,73.95200287048813,78.48673051140095,75.58987358189951,80.20318862349771,76.04291424474664,80.24784781739605,66.43406316397373,68.19462980254742,66.40915367704683,69.11681495314019,70.48907007663212,77.22637564888078,71.17967494080429,77.15418189715763,74.3009183071654,78.84268790670349,74.73241913953225,78.71500758225717,76.26154429840545,80.47285810705185,76.55914735927001,80.40692797078576
12,440,61.9854706166914,66.71988324791863,61.15207840433568,67.59215293278162,71.0305721358512,77.87304792379567,71.9967409422789,77.65972952618955,75.32802514945254,79.06974666223174,75.59497808484987,78.9286317011975,77.84217361467873,80.96194473572588,78.08041004028384,80.97263357773517,65.6095377227976,67.29474816313927,65.52323546937737,68.29135728627891,72.02543939236276,77.71815954879614,72.69422155323983,77.57782158219463,75.69876699202803,79.16510650286071,76.08477090015879,78.96361199866692,78.1591292060511,81.00745295000083,78.34487555778122,80.93380086761739
13,480,62.69914221607927,68.12880828387632,61.23112789590475,68.70199730704526,73.1207304367401,78.48966449550163,73.78034383435305,78.27116594430021,76.87776367825055,79.62133100140028,77.06235366522509,79.49935849371394,79.80539383325262,81.8742723868358,79.90633455044632,81.88506034641844,65.80379115158793,66.87544273790992,65.48621831788431,67.99005322231338,73.90028895264832,78.2593999579324,74.36764740066177,78.12417019486435,77.1099783233702,79.61157059050224,77.39178938772437,79.42934032187155,79.96977316892703,81.7610608016069,80.05901981559393,81.72495010663802
14,520,61.961477161871585,67.71498818115869,60.58443200270431,68.33378527569882,75.61867143092832,78.83469655571469,75.93717042617313,78.7209265448803,79.03136238811113,80.5516105498161,79.09123381705552,80.4749186055872,82.28616203976402,83.22599398492441,82.28911507328837,83.23781655412738,65.5561751236988,66.82009628906798,65.32369038639465,67.83878502151916,75.80463617042257,78.64688447711362,76.02992973677756,78.61290514830182,78.98746064414907,80.51213567325668,79.10866731874808,80.40935916175536,82.25080412040523,83.15428828521108,82.24636007793877,83.13926490693511
15,560,61.630445584083446,66.96327925286803,60.41568558295069,67.72727920111254,78.53921049159666,80.21930134509,78.69030815802037,80.16871851357875,81.82799944216377,82.452265483292,81.83011648885012,82.3947410709088,85.254949154029,85.37216831077366,85.20434611504012,85.37360984280113,65.73683708098247,67.18148166106836,65.6701799122239,68.06976939361094,78.37430421643896,80.03162504361997,78.48263815322765,80.03612702128751,81.62760903717037,82.37931331674255,81.65756634416911,82.31129095786854,85.10820150446263,85.33863168100773,85.05579669507063,85.32472760303129
16,600,61.63679391720737,67.14644503358724,60.628737877587525,67.98231839871147,81.74702381576346,82.45014931348618,81.81569930036103,82.40322792275897,84.99681296907212,85.0705124624669,84.96767914556544,85.0217284862322,88.53360161939682,88.04979747009574,88.45110144500563,88.03889443404023,66.85847942071089,68.29730607860544,66.85908214678122,69.0648326995631,81.41675887391493,82.22001270000136,81.4682720734477,82.21926825402635,84.73009454937139,84.97270380579904,84.71209682979736,84.92681909776039,88.34081269464923,88.01481469415569,88.27007586922306,87.9986925024154
17,640,62.23660775001225,68.2279466894813,61.09739690861049,69.08145047827502,84.9895320554708,85.08128449778445,85.0077427996338,85.02348391108548,88.2401117640935,87.95206347474796,88.19579966740312,87.90071013062706,91.82500208699055,91.00758798288459,91.72547536881764,90.9819967146695,68.26316962678331,70.09510852487901,68.28822599742851,70.50997737409745,84.60679622134039,84.84832264264712,84.6107782697568,84.83657440430507,87.9515081540192,87.8593020158788,87.9070778451823,87.81383348397102,91.61488818594164,90.97327184454721,91.5315932025238,90.9525020491781
18,680,62.515037566925244,69.65780717235555,61.02377525540315,70.45842995456968,87.30502993497403,86.98759461626213,87.28652533191855,86.91840081853269,90.58735782225538,90.05235917803354,90.53539777013748,89.98062608280807,94.19302691791361,93.22898788963155,94.07453440753514,93.18044843412729,69.38212264501092,71.71372039547904,69.37533487561879,72.06571858271134,86.89688290990856,86.81657298463675,86.84723515035691,86.79893834010306,90.27954774219202,90.00267831660892,90.216665124607,89.94388027693567,93.9627413403207,93.21155659853943,93.86133869026814,93.18253399921375
19,720,62.09990257287175,69.70439044098802,60.5256105045294,70.3793717049989,88.9550180316648,88.4109899867306,88.92129050518449,88.31795107347646,92.26466169553497,91.60391137592364,92.20867920563562,91.50291931669585,95.86794144748316,94.83874186302295,95.73537626255329,94.75907035136822,69.8068659110683,72.13011704734116,69.8583766876035,72.44298575288902,88.48555330151899,88.25061413769643,88.40362888698608,88.21125788028418,91.91328966136176,91.57709868814567,91.83801341238784,91.48965762066649,95.60126119466122,94.84268378267615,95.48611420671378,94.79500526236095
